GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
micro-rest,net.aikaka.javaboilerplates.microrest.api,GetSamplesAPI,0,15,0,0,0,5,0,3,0,3
micro-rest,net.aikaka.javaboilerplates.microrest.config,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
micro-rest,net.aikaka.javaboilerplates.microrest.config,WebConfig,0,7,0,0,0,2,0,2,0,2
micro-rest,net.aikaka.javaboilerplates.microrest,MicroRestApplication,5,3,0,0,2,1,1,1,1,1
